TribeIndigenousLands,Yomba,"Yomba Shoshone Tribe of the Yomba Reservation, Nevada",Yomba Reservation,,
TribeIndigenousLands,Fort Peck,"Assiniboine and Sioux Tribes of the Fort Peck Indian Reservation, Montana",Fort Peck Indian Reservation,,
TribeIndigenousLands,Santee,"Santee Sioux Nation, Nebraska",Santee Reservation,,
TribeIndigenousLands,Tule River,"Tule River Indian Tribe of the Tule River Reservation, California",Tule River Reservation,,
TribeIndigenousLands,La Jolla,"La Jolla Band of Luiseno Indians, California",La Jolla Reservation,,
TribeIndigenousLands,San Felipe,"Pueblo of San Felipe, New Mexico",San Felipe Pueblo,,
TribeIndigenousLands,Flandreau,Flandreau Santee Sioux Tribe of South Dakota,Flandreau Reservation,,
TribeIndigenousLands,Laytonville,Cahto Tribe of the Laytonville Rancheria,Laytonville Rancheria,,
TribeIndigenousLands,Port Gamble,Port Gamble S'Klallam Tribe,Port Gamble Reservation,,
TribeIndigenousLands,Narragansett,Narragansett Indian Tribe,Narragansett Reservation,,
TribeIndigenousLands,Lookout,"Pit River Tribe, California (includes XL Ranch, Big Bend, Likely, Lookout, Montgomery Creek, and Roaring Creek Rancherias)",Lookout Rancheria,,
TribeIndigenousLands,Sulphur Bank,"Elem Indian Colony of Pomo Indians of the Sulphur Bank Rancheria, California",Sulphur Bank Rancheria,,
TribeIndigenousLands,Cocopah,Cocopah Tribe of Arizona,Cocopah Reservation,,
TribeIndigenousLands,Hualapai,"Hualapai Indian Tribe of the Hualapai Indian Reservation, Arizona",Hualapai Indian Reservation,,
TribeIndigenousLands,Shinnecock,Shinnecock Indian Nation,Shinnecock Reservation,,
TribeIndigenousLands,Big Pine,Big Pine Paiute Tribe of the Owens Valley,Big Pine Reservation,,
TribeIndigenousLands,St. Croix,St. Croix Chippewa Indians of Wisconsin,St. Croix Reservation,,
TribeIndigenousLands,White Earth,"Minnesota Chippewa Tribe, Minnesota (White Earth Band)",White Earth Reservation,,
TribeIndigenousLands,Duckwater,Duckwater Shoshone Tribe,Duckwater Reservation,,
TribeIndigenousLands,Cahuilla,Cahuilla Band of Indians,Cahuilla Reservation,,
TribeIndigenousLands,Allegany,Seneca Nation of Indians,Allegany Reservation,,
TribeIndigenousLands,San Manuel,Yuhaaviatam of San Manuel Nation,San Manuel Reservation,,
TribeIndigenousLands,Fort Sill Apache,Fort Sill Apache Tribe of Oklahoma,Fort Sill Apache Indian Reservation,,
TribeIndigenousLands,Guidiville,Guidiville Rancheria of California,Guidiville Rancheria,,
TribeIndigenousLands,"Coos, Lower Umpqua, and Siuslaw","Confederated Tribes of the Coos, Lower Umpqua and Siuslaw Indians","Coos, Lower Umpqua, and Siuslaw Reservation",,
TribeIndigenousLands,Lac du Flambeau,Lac du Flambeau Band of Lake Superior Chippewa Indians of the Lac du Flambeau Reservation of Wisconsin,Lac du Flambeau Reservation,,
TribeIndigenousLands,Forest County Potawatomi,"Forest County Potawatomi Community, Wisconsin",Forest County Potawatomi Community,,
TribeIndigenousLands,Laguna,"Pueblo of Laguna, New Mexico",Laguna Pueblo,,
TribeIndigenousLands,Colorado River,"Colorado River Indian Tribes of the Colorado River Indian Reservation, Arizona and California",Colorado River Indian Reservation,,
TribeIndigenousLands,Santa Ysabel,"Iipay Nation of Santa Ysabel, California",Santa Ysabel Reservation,,
TribeIndigenousLands,Chicken Ranch,Chicken Ranch Rancheria of Me-Wuk Indians of California,Chicken Ranch Rancheria,,
TribeIndigenousLands,San Ildefonso,"Pueblo of San Ildefonso, New Mexico",San Ildefonso Pueblo,,
TribeIndigenousLands,Lower Elwha,Lower Elwha Tribal Community,Lower Elwha Reservation,,
TribeIndigenousLands,Grindstone,Grindstone Indian Rancheria of Wintun-Wailaki Indians of California,Grindstone Indian Rancheria,,
TribeIndigenousLands,L'Anse,"Keweenaw Bay Indian Community, Michigan",L'Anse Reservation,,
TribeIndigenousLands,Ewiiaapaayp,"Ewiiaapaayp Band of Kumeyaay Indians, California",Ewiiaapaayp Reservation,,
TribeIndigenousLands,Carson,"Washoe Tribe of Nevada & California (Carson Colony, Dresslerville Colony, Woodfords Community, Stewart Community, & Washoe Ranches)",Carson Colony,,
TribeIndigenousLands,Catawba,Catawba Indian Nation,Catawba Reservation,,
TribeIndigenousLands,Yakama Nation,Confederated Tribes and Bands of the Yakama Nation,Yakama Nation Reservation,,
TribeIndigenousLands,Fort Apache,"White Mountain Apache Tribe of the Fort Apache Reservation, Arizona",Fort Apache Reservation,,
TribeIndigenousLands,Battle Mountain,Te-Moak Tribe of Western Shoshone Indians of Nevada (Battle Mountain Band),Battle Mountain Reservation,,
TribeIndigenousLands,Goshute,"Confederated Tribes of the Goshute Reservation, Nevada and Utah",Goshute Reservation,,
TribeIndigenousLands,Nambe,"Pueblo of Nambe, New Mexico",Nambe Pueblo,,
TribeIndigenousLands,North Fork,Northfork Rancheria of Mono Indians of California,North Fork Rancheria,,
TribeIndigenousLands,Kalispel,Kalispel Indian Community of the Kalispel Reservation,Kalispel Reservation,,
TribeIndigenousLands,Prairie Island,Prairie Island Indian Community in the State of Minnesota,Prairie Island Indian Community,,
TribeIndigenousLands,Santa Rosa,"Santa Rosa Indian Community of the Santa Rosa Rancheria, California",Santa Rosa Rancheria,,
TribeIndigenousLands,Capitan Grande,"Capitan Grande Band of Diegueno Mission Indians of California (Barona Group of Capitan Grande Band of Mission Indians of the Barona Reservation, California; Viejas (Baron Long) Group of Capitan Grande Band of Mission Indians of the Viejas Reservation, California)",Capitan Grande Reservation,,
TribeIndigenousLands,Red Cliff,Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin,Red Cliff Reservation,,
TribeIndigenousLands,Brighton,Seminole Tribe of Florida,Brighton Reservation,,
TribeIndigenousLands,Squaxin Island,Squaxin Island Tribe of the Squaxin Island Reservation,Squaxin Island Reservation,,
TribeIndigenousLands,Quinault,Quinault Indian Nation,Quinault Reservation,,
TribeIndigenousLands,Hopi,Hopi Tribe of Arizona,Hopi Reservation,,
TribeIndigenousLands,Woodfords,"Washoe Tribe of Nevada & California (Carson Colony, Dresslerville Colony, Woodfords Community, Stewart Community, & Washoe Ranches)",Woodfords Community,,
TribeIndigenousLands,Bay Mills,"Bay Mills Indian Community, Michigan",Bay Mills Reservation,,
TribeIndigenousLands,Dresslerville,"Washoe Tribe of Nevada & California (Carson Colony, Dresslerville Colony, Woodfords Community, Stewart Community, & Washoe Ranches)",Dresslerville Colony,,
TribeIndigenousLands,Big Bend,"Pit River Tribe, California (includes XL Ranch, Big Bend, Likely, Lookout, Montgomery Creek, and Roaring Creek Rancherias)",Big Bend Rancheria,,
TribeIndigenousLands,Fallon Paiute-Shoshone,"Paiute-Shoshone Tribe of the Fallon Reservation and Colony, Nevada",Fallon Paiute-Shoshone Reservation,,
TribeIndigenousLands,Isleta,"Pueblo of Isleta, New Mexico",Isleta Pueblo,,
TribeIndigenousLands,Table Mountain,Table Mountain Rancheria,Table Mountain Rancheria,,
TribeIndigenousLands,San Felipe Pueblo/Santo Domingo Pueblo,"Pueblo of San Felipe, New Mexico",San Felipe Pueblo/Santo Domingo Pueblo joint-use area,,
TribeIndigenousLands,San Felipe Pueblo/Santo Domingo Pueblo,Santo Domingo Pueblo,San Felipe Pueblo/Santo Domingo Pueblo joint-use area,,
TribeIndigenousLands,Salt River,"Salt River Pima-Maricopa Indian Community of the Salt River Reservation, Arizona",Salt River Reservation,,
TribeIndigenousLands,St. Regis Mohawk,Saint Regis Mohawk Tribe,St. Regis Mohawk Reservation,,
TribeIndigenousLands,Colusa,"Cachil DeHe Band of Wintun Indians of the Colusa Indian Community of the Colusa Rancheria, California",Colusa Rancheria,,
TribeIndigenousLands,Ho-Chunk Nation,Ho-Chunk Nation of Wisconsin,Ho-Chunk Nation Reservation,,
TribeIndigenousLands,Torres-Martinez,"Torres Martinez Desert Cahuilla Indians, California",Torres-Martinez Reservation,,
TribeIndigenousLands,Yankton,Yankton Sioux Tribe of South Dakota,Yankton Reservation,,
TribeIndigenousLands,Robinson,Robinson Rancheria,Robinson Rancheria,,
TribeIndigenousLands,Wind River,"Northern Arapaho Tribe of the Wind River Reservation, Wyoming",Wind River Reservation,,
TribeIndigenousLands,Wind River,"Eastern Shoshone Tribe of the Wind River Reservation, Wyoming",Wind River Reservation,,
TribeIndigenousLands,Zuni,"Zuni Tribe of the Zuni Reservation, New Mexico",Zuni Reservation,,
TribeIndigenousLands,Campo,"Campo Band of Diegueno Mission Indians of the Campo Indian Reservation, California",Campo Indian Reservation,,
TribeIndigenousLands,Tuscarora Nation,Tuscarora Nation,Tuscarora Nation Reservation,,
TribeIndigenousLands,Rincon,"Rincon Band of Luiseno Mission Indians of Rincon Reservation, California",Rincon Reservation,,
TribeIndigenousLands,Grand Portage,"Minnesota Chippewa Tribe, Minnesota (Grand Portage Band)",Grand Portage Reservation,,
TribeIndigenousLands,Big Cypress,Seminole Tribe of Florida,Big Cypress Reservation,,
TribeIndigenousLands,Tesuque,"Pueblo of Tesuque, New Mexico",Tesuque Pueblo,,
TribeIndigenousLands,Moapa River,"Moapa Band of Paiute Indians of the Moapa River Indian Reservation, Nevada",Moapa River Indian Reservation,,
TribeIndigenousLands,Prairie Band of Potawatomi Nation,Prairie Band Potawatomi Nation,Prairie Band of Potawatomi Nation Reservation,,
TribeIndigenousLands,Manchester-Point Arena,"Manchester Band of Pomo Indians of the Manchester Rancheria, California",Manchester-Point Arena Rancheria,,
TribeIndigenousLands,Round Valley,"Round Valley Indian Tribes, Round Valley Reservation, California",Round Valley Reservation,,
TribeIndigenousLands,Viejas,"Capitan Grande Band of Diegueno Mission Indians of California: Viejas (Baron Long) Group of Capitan Grande Band of Mission Indians of the Viejas Reservation, California",Viejas Reservation,,
TribeIndigenousLands,Quartz Valley,Quartz Valley Indian Community of the Quartz Valley Reservation of California,Quartz Valley Reservation,,
TribeIndigenousLands,Trinidad,"Cher-Ae Heights Indian Community of the Trinidad Rancheria, California",Trinidad Rancheria,,
TribeIndigenousLands,Navajo Nation,"Navajo Nation, Arizona, New Mexico, & Utah",Navajo Nation Reservation,,
TribeIndigenousLands,Poarch Creek,Poarch Band of Creek Indians,Poarch Creek Reservation,,
TribeIndigenousLands,Grand Ronde,Confederated Tribes of the Grand Ronde Community of Oregon,Grand Ronde Community,,
TribeIndigenousLands,Winnebago,Winnebago Tribe of Nebraska,Winnebago Reservation,,
TribeIndigenousLands,Middletown,Middletown Rancheria of Pomo Indians of California,Middletown Rancheria,,
TribeIndigenousLands,Jamul,Jamul Indian Village of California,Jamul Indian Village,,
TribeIndigenousLands,Sault Ste. Marie,"Sault Ste. Marie Tribe of Chippewa Indians, Michigan",Sault Ste. Marie Reservation,,
TribeIndigenousLands,Lower Sioux,Lower Sioux Indian Community in the State of Minnesota,Lower Sioux Indian Community,,
TribeIndigenousLands,Umatilla,Confederated Tribes of the Umatilla Indian Reservation,Umatilla Reservation,,
TribeIndigenousLands,Rocky Boy's,"Chippewa Cree Indians of the Rocky Boy's Reservation, Montana",Rocky Boy's Reservation,,
TribeIndigenousLands,Port Madison,Suquamish Indian Tribe of the Port Madison Reservation,Port Madison Reservation,,
TribeIndigenousLands,Omaha,Omaha Tribe of Nebraska,Omaha Reservation,,
TribeIndigenousLands,Auburn,United Auburn Indian Community of the Auburn Rancheria of California,Auburn Rancheria,,
TribeIndigenousLands,Tohono O'odham Nation,Tohono O'odham Nation of Arizona,Tohono O'odham Nation Reservation,,
TribeIndigenousLands,Coyote Valley,Coyote Valley Band of Pomo Indians of California,Coyote Valley Reservation,,
TribeIndigenousLands,Ysleta del Sur,Ysleta del Sur Pueblo,Ysleta del Sur Pueblo,,
TribeIndigenousLands,Elko,Te-Moak Tribe of Western Shoshone Indians of Nevada (Elko Band),Elko Colony,,
TribeIndigenousLands,Havasupai,"Havasupai Tribe of the Havasupai Reservation, Arizona",Havasupai Reservation,,
TribeIndigenousLands,Miccosukee,Miccosukee Tribe of Indians,Miccosukee Reservation,,
TribeIndigenousLands,Stewart,"Washoe Tribe of Nevada & California (Carson Colony, Dresslerville Colony, Woodfords Community, Stewart Community, & Washoe Ranches)",Stewart Community,,
TribeIndigenousLands,Paiute (UT),"Paiute Indian Tribe of Utah (Cedar Band of Paiutes, Kanosh Band of Paiutes, Koosharem Band of Paiutes, Indian Peaks Band of Paiutes, and Shivwits Band of Paiutes)",Paiute (UT) Reservation,,
TribeIndigenousLands,Sac and Fox Nation,Sac & Fox Nation of Missouri in Kansas and Nebraska,Sac and Fox Nation Reservation,,
TribeIndigenousLands,Pinoleville,"Pinoleville Pomo Nation, California",Pinoleville Rancheria,,
TribeIndigenousLands,Hollywood,Seminole Tribe of Florida,Hollywood Reservation,,
TribeIndigenousLands,Twenty-Nine Palms,Twenty-Nine Palms Band of Mission Indians of California,Twenty-Nine Palms Reservation,,
TribeIndigenousLands,Bois Forte,"Minnesota Chippewa Tribe, Minnesota (Bois Forte Band (Nett Lake))",Bois Forte Reservation,,
TribeIndigenousLands,Fort Independence,"Fort Independence Indian Community of Paiute Indians of the Fort Independence Reservation, California",Fort Independence Reservation,,
TribeIndigenousLands,Chitimacha,Chitimacha Tribe of Louisiana,Chitimacha Reservation,,
TribeIndigenousLands,Timbi-Sha Shoshone,Timbisha Shoshone Tribe,Timbi-Sha Shoshone Reservation,,
TribeIndigenousLands,Kootenai,Kootenai Tribe of Idaho,Kootenai Reservation,,
TribeIndigenousLands,Susanville,"Susanville Indian Rancheria, California",Susanville Indian Rancheria,,
TribeIndigenousLands,Lower Brule,"Lower Brule Sioux Tribe of the Lower Brule Reservation, South Dakota",Lower Brule Reservation,,
TribeIndigenousLands,Redding,"Redding Rancheria, California",Redding Rancheria,,
TribeIndigenousLands,Rosebud,"Rosebud Sioux Tribe of the Rosebud Indian Reservation, South Dakota",Rosebud Indian Reservation,,
TribeIndigenousLands,Onondaga Nation,Onondaga Nation,Onondaga Nation Reservation,,
TribeIndigenousLands,Osage,The Osage Nation,Osage Reservation,,
TribeIndigenousLands,Santa Clara,"Pueblo of Santa Clara, New Mexico",Santa Clara Pueblo,,
TribeIndigenousLands,Paskenta,Paskenta Band of Nomlaki Indians of California,Paskenta Rancheria,,
TribeIndigenousLands,Coquille,Coquille Indian Tribe,Coquille Reservation,,
TribeIndigenousLands,Northwestern Shoshone,Northwestern Band of the Shoshone Nation,Northwestern Shoshone Reservation,,
TribeIndigenousLands,Karuk,Karuk Tribe,Karuk Reservation,,
TribeIndigenousLands,Bishop,Bishop Paiute Tribe,Bishop Reservation,,
TribeIndigenousLands,Duck Valley,"Shoshone-Paiute Tribes of the Duck Valley Reservation, Nevada",Duck Valley Reservation,,
TribeIndigenousLands,Tampa,Seminole Tribe of Florida,Tampa Reservation,,
TribeIndigenousLands,Stewarts Point,"Kashia Band of Pomo Indians of the Stewarts Point Rancheria, California",Stewarts Point Rancheria,,
TribeIndigenousLands,Oneida Nation,Oneida Indian Nation,Oneida Indian Nation Reservation,,
TribeIndigenousLands,Cedarville,"Cedarville Rancheria, California",Cedarville Rancheria,,
TribeIndigenousLands,Kickapoo (KS),Kickapoo Tribe of Indians of the Kickapoo Reservation in Kansas,Kickapoo (KS) Reservation,,
TribeIndigenousLands,Lac Vieux Desert,Lac Vieux Desert Band of Lake Superior Chippewa Indians of Michigan,Lac Vieux Desert Reservation,,
TribeIndigenousLands,Match-e-be-nash-she-wish Band of Pottawatomi,Match-e-be-nash-she-wish Band of Pottawatomi Indians of Michigan,Match-e-be-nash-she-wish Band of Pottawatomi Reservation,,
TribeIndigenousLands,Uintah and Ouray,"Ute Indian Tribe of the Uintah & Ouray Reservation, Utah",Uintah and Ouray Reservation,,
TribeIndigenousLands,Lone Pine,Lone Pine Paiute-Shoshone Tribe,Lone Pine Reservation,,
TribeIndigenousLands,Sauk-Suiattle,Sauk-Suiattle Indian Tribe,Sauk-Suiattle Reservation,,
TribeIndigenousLands,Mooretown,Mooretown Rancheria of Maidu Indians of California,Mooretown Rancheria,,
TribeIndigenousLands,Makah,Makah Indian Tribe of the Makah Indian Reservation,Makah Indian Reservation,,
TribeIndigenousLands,Acoma,"Pueblo of Acoma, New Mexico",Acoma Pueblo,,
TribeIndigenousLands,Yavapai-Prescott,Yavapai-Prescott Indian Tribe,Yavapai-Prescott Reservation,,
TribeIndigenousLands,Big Sandy,Big Sandy Rancheria of Western Mono Indians of California,Big Sandy Rancheria,,
TribeIndigenousLands,Oneida (WI),Oneida Nation,Oneida (WI) Reservation,,
TribeIndigenousLands,Agua Caliente,"Agua Caliente Band of Cahuilla Indians of the Agua Caliente Indian Reservation, California",Agua Caliente Indian Reservation,,
TribeIndigenousLands,Stillaguamish,Stillaguamish Tribe of Indians of Washington,Stillaguamish Reservation,,
TribeIndigenousLands,Pine Ridge,Oglala Sioux Tribe,Pine Ridge Reservation,,
TribeIndigenousLands,Mille Lacs,"Minnesota Chippewa Tribe, Minnesota (Mille Lacs Band)",Mille Lacs Reservation,,
TribeIndigenousLands,Maricopa (Ak Chin),Ak-Chin Indian Community,Maricopa (Ak Chin) Indian Reservation,,
TribeIndigenousLands,Reno-Sparks,"Reno-Sparks Indian Colony, Nevada",Reno-Sparks Indian Colony,,
TribeIndigenousLands,Fort Belknap,Fort Belknap Indian Community of the Fort Belknap Reservation of Montana,Fort Belknap Reservation,,
TribeIndigenousLands,XL Ranch,"Pit River Tribe, California (includes XL Ranch, Big Bend, Likely, Lookout, Montgomery Creek, and Roaring Creek Rancherias)",XL Ranch Rancheria,,
TribeIndigenousLands,Huron Potawatomi,"Nottawaseppi Huron Band of the Potawatomi, Michigan",Huron Potawatomi Reservation,,
TribeIndigenousLands,Annette Island,"Metlakatla Indian Community, Annette Island Reserve",Annette Island Reserve,,
TribeIndigenousLands,Ely,Ely Shoshone Tribe of Nevada,Ely Reservation,,
TribeIndigenousLands,Jemez,"Pueblo of Jemez, New Mexico",Jemez Pueblo,,
TribeIndigenousLands,Hoh,Hoh Indian Tribe,Hoh Indian Reservation,,
TribeIndigenousLands,Lac Courte Oreilles,Lac Courte Oreilles Band of Lake Superior Chippewa Indians of Wisconsin,Lac Courte Oreilles Reservation,,
TribeIndigenousLands,Jicarilla Apache Nation,"Jicarilla Apache Nation, New Mexico",Jicarilla Apache Nation Reservation,,
TribeIndigenousLands,Sherwood Valley,Sherwood Valley Rancheria of Pomo Indians of California,Sherwood Valley Rancheria,,
TribeIndigenousLands,Walker River,"Walker River Paiute Tribe of the Walker River Reservation, Nevada",Walker River Reservation,,
TribeIndigenousLands,Hoopa Valley,"Hoopa Valley Tribe, California",Hoopa Valley Reservation,,
TribeIndigenousLands,Elk Valley,"Elk Valley Rancheria, California",Elk Valley Rancheria,,
TribeIndigenousLands,Big Lagoon,"Big Lagoon Rancheria, California",Big Lagoon Rancheria,,
TribeIndigenousLands,Nisqually,Nisqually Indian Tribe,Nisqually Reservation,,
TribeIndigenousLands,Shakopee Mdewakanton Sioux,Shakopee Mdewakanton Sioux Community of Minnesota,Shakopee Mdewakanton Sioux Community,,
TribeIndigenousLands,Indian Township,Passamaquoddy Tribe of Maine (Indian Township),Indian Township Reservation,,
TribeIndigenousLands,Fort Bidwell,Fort Bidwell Indian Community of the Fort Bidwell Reservation of California,Fort Bidwell Reservation,,
TribeIndigenousLands,Alturas,"Alturas Indian Rancheria, California",Alturas Indian Rancheria,,
TribeIndigenousLands,Pojoaque,"Pueblo of Pojoaque, New Mexico",Pueblo of Pojoaque,,
TribeIndigenousLands,Mashantucket Pequot,Mashantucket Pequot Indian Tribe,Mashantucket Pequot Reservation,,
TribeIndigenousLands,Pala,Pala Band of Mission Indians,Pala Reservation,,
TribeIndigenousLands,Nooksack,Nooksack Indian Tribe,Nooksack Reservation,,
TribeIndigenousLands,Quileute,Quileute Tribe of the Quileute Reservation,Quileute Reservation,,
TribeIndigenousLands,Pamunkey,Pamunkey Indian Tribe,Pamunkey Reservation,,
TribeIndigenousLands,Santo Domingo,Santo Domingo Pueblo,Santo Domingo Pueblo,,
TribeIndigenousLands,Shoshone-Bannock,Shoshone-Bannock Tribes of the Fort Hall Reservation,Fort Hall Reservation,,
TribeIndigenousLands,Kickapoo (KS) Reservation/Sac and Fox Nation Trust Land,Sac & Fox Nation of Missouri in Kansas and Nebraska,Kickapoo (KS) Reservation/Sac and Fox Nation Trust Land joint-use area,,
TribeIndigenousLands,Cheyenne River,"Cheyenne River Sioux Tribe of the Cheyenne River Reservation, South Dakota",Cheyenne River Reservation,,
TribeIndigenousLands,Chehalis,Confederated Tribes of the Chehalis Reservation,Chehalis Reservation,,
TribeIndigenousLands,L'Anse,"Keweenaw Bay Indian Community, Michigan",L'Anse Reservation,,
TribeIndigenousLands,Guidiville,Guidiville Rancheria of California,Guidiville Rancheria,,
TribeIndigenousLands,Fallon Paiute-Shoshone (Colony),"Paiute-Shoshone Tribe of the Fallon Reservation and Colony, Nevada",Fallon Paiute-Shoshone Colony,,
TribeIndigenousLands,Stewarts Point,"Kashia Band of Pomo Indians of the Stewarts Point Rancheria, California",Stewarts Point Rancheria,,
TribeIndigenousLands,Lower Elwha,Lower Elwha Tribal Community,Lower Elwha Reservation,,
TribeIndigenousLands,Fort Bidwell,Fort Bidwell Indian Community of the Fort Bidwell Reservation of California,Fort Bidwell Reservation,,
TribeIndigenousLands,Morongo,"Morongo Band of Mission Indians, California",Morongo Reservation,,
TribeIndigenousLands,Blue Lake,"Blue Lake Rancheria, California",Blue Lake Rancheria,,
TribeIndigenousLands,Coushatta,Coushatta Tribe of Louisiana,Coushatta Reservation,,
TribeIndigenousLands,Warm Springs,Confederated Tribes of the Warm Springs Reservation of Oregon,Warm Springs Reservation,,
TribeIndigenousLands,Skokomish,Skokomish Indian Tribe,Skokomish Reservation,,
TribeIndigenousLands,North Fork,Northfork Rancheria of Mono Indians of California,North Fork Rancheria,,
TribeIndigenousLands,Lower Brule,"Lower Brule Sioux Tribe of the Lower Brule Reservation, South Dakota",Lower Brule Reservation,,
TribeIndigenousLands,Ponca (NE),Ponca Tribe of Nebraska,Ponca (NE) Trust Land,,
TribeIndigenousLands,Tesuque,"Pueblo of Tesuque, New Mexico",Tesuque Pueblo,,
TribeIndigenousLands,Manzanita,"Manzanita Band of Diegueno Mission Indians of the Manzanita Reservation, California",Manzanita Reservation,,
TribeIndigenousLands,Enterprise,Enterprise Rancheria of Maidu Indians of California,Enterprise Rancheria,,
TribeIndigenousLands,Port Gamble,Port Gamble S'Klallam Tribe,Port Gamble Reservation,,
TribeIndigenousLands,Siletz,Confederated Tribes of Siletz Indians of Oregon,Siletz Reservation,,
TribeIndigenousLands,Seminole (FL),Seminole Tribe of Florida,Seminole (FL) Trust Land,,
TribeIndigenousLands,Viejas,"Capitan Grande Band of Diegueno Mission Indians of California: Viejas (Baron Long) Group of Capitan Grande Band of Mission Indians of the Viejas Reservation, California",Viejas Reservation,,
TribeIndigenousLands,Leech Lake,"Minnesota Chippewa Tribe, Minnesota (Leech Lake Band)",Leech Lake Reservation,,
TribeIndigenousLands,Tule River,"Tule River Indian Tribe of the Tule River Reservation, California",Tule River Reservation,,
TribeIndigenousLands,Big Sandy,Big Sandy Rancheria of Western Mono Indians of California,Big Sandy Rancheria,,
TribeIndigenousLands,Poarch Creek,Poarch Band of Creek Indians,Poarch Creek Reservation,,
TribeIndigenousLands,Big Pine,Big Pine Paiute Tribe of the Owens Valley,Big Pine Reservation,,
TribeIndigenousLands,Zuni,"Zuni Tribe of the Zuni Reservation, New Mexico",Zuni Reservation,,
TribeIndigenousLands,Shingle Springs,"Shingle Springs Band of Miwok Indians, Shingle Springs Rancheria (Verona Tract), California",Shingle Springs Rancheria,,
TribeIndigenousLands,Bay Mills,"Bay Mills Indian Community, Michigan",Bay Mills Reservation,,
TribeIndigenousLands,Sac and Fox Nation,Sac & Fox Nation of Missouri in Kansas and Nebraska,Sac and Fox Nation Reservation,,
TribeIndigenousLands,"Coos, Lower Umpqua, and Siuslaw","Confederated Tribes of the Coos, Lower Umpqua and Siuslaw Indians","Coos, Lower Umpqua, and Siuslaw Reservation",,
TribeIndigenousLands,Huron Potawatomi,"Nottawaseppi Huron Band of the Potawatomi, Michigan",Huron Potawatomi Reservation,,
TribeIndigenousLands,Coconut Creek,Seminole Tribe of Florida,Coconut Creek Trust Land,,
TribeIndigenousLands,Ute Mountain,Ute Mountain Ute Tribe,Ute Mountain Reservation,,
TribeIndigenousLands,Kootenai,Kootenai Tribe of Idaho,Kootenai Reservation,,
TribeIndigenousLands,Agua Caliente,"Agua Caliente Band of Cahuilla Indians of the Agua Caliente Indian Reservation, California",Agua Caliente Indian Reservation,,
TribeIndigenousLands,Berry Creek,Berry Creek Rancheria of Maidu Indians of California,Berry Creek Rancheria,,
TribeIndigenousLands,Ho-Chunk Nation,Ho-Chunk Nation of Wisconsin,Ho-Chunk Nation Reservation,,
TribeIndigenousLands,Pojoaque,"Pueblo of Pojoaque, New Mexico",Pueblo of Pojoaque,,
TribeIndigenousLands,Santa Clara,"Pueblo of Santa Clara, New Mexico",Santa Clara Pueblo,,
TribeIndigenousLands,White Earth,"Minnesota Chippewa Tribe, Minnesota (White Earth Band)",White Earth Reservation,,
TribeIndigenousLands,Little Traverse Bay,"Little Traverse Bay Bands of Odawa Indians, Michigan",Little Traverse Bay Reservation,,
TribeIndigenousLands,Stockbridge Munsee,"Stockbridge Munsee Community, Wisconsin",Stockbridge Munsee Community,,
TribeIndigenousLands,San Ildefonso,"Pueblo of San Ildefonso, New Mexico",San Ildefonso Pueblo,,
TribeIndigenousLands,Soboba,"Soboba Band of Luiseno Indians, California",Soboba Reservation,,
TribeIndigenousLands,Twenty-Nine Palms,Twenty-Nine Palms Band of Mission Indians of California,Twenty-Nine Palms Reservation,,
TribeIndigenousLands,Menominee,Menominee Indian Tribe of Wisconsin,Menominee Reservation,,
TribeIndigenousLands,Fond du Lac,"Minnesota Chippewa Tribe, Minnesota (Fond du Lac Band)",Fond du Lac Reservation,,
TribeIndigenousLands,Mooretown,Mooretown Rancheria of Maidu Indians of California,Mooretown Rancheria,,
TribeIndigenousLands,Little River,"Little River Band of Ottawa Indians, Michigan",Little River Reservation,,
TribeIndigenousLands,Duck Valley,"Shoshone-Paiute Tribes of the Duck Valley Reservation, Nevada",Duck Valley Reservation,,
TribeIndigenousLands,Hoh,Hoh Indian Tribe,Hoh Indian Reservation,,
TribeIndigenousLands,Sycuan,Sycuan Band of the Kumeyaay Nation,Sycuan Reservation,,
TribeIndigenousLands,Crow,Crow Tribe of Montana,Crow Reservation,,
TribeIndigenousLands,Wind River,"Northern Arapaho Tribe of the Wind River Reservation, Wyoming",Wind River Reservation,,
TribeIndigenousLands,Wind River,"Eastern Shoshone Tribe of the Wind River Reservation, Wyoming",Wind River Reservation,,
TribeIndigenousLands,Lac Vieux Desert,Lac Vieux Desert Band of Lake Superior Chippewa Indians of Michigan,Lac Vieux Desert Reservation,,
TribeIndigenousLands,Snoqualmie,Snoqualmie Indian Tribe,Snoqualmie Reservation,,
TribeIndigenousLands,Laguna,"Pueblo of Laguna, New Mexico",Laguna Pueblo,,
TribeIndigenousLands,Upper Skagit,Upper Skagit Indian Tribe,Upper Skagit Reservation,,
TribeIndigenousLands,Chicken Ranch,Chicken Ranch Rancheria of Me-Wuk Indians of California,Chicken Ranch Rancheria,,
TribeIndigenousLands,Lac Courte Oreilles,Lac Courte Oreilles Band of Lake Superior Chippewa Indians of Wisconsin,Lac Courte Oreilles Reservation,,
TribeIndigenousLands,Acoma,"Pueblo of Acoma, New Mexico",Acoma Pueblo,,
TribeIndigenousLands,Torres-Martinez,"Torres Martinez Desert Cahuilla Indians, California",Torres-Martinez Reservation,,
TribeIndigenousLands,Miccosukee,Miccosukee Tribe of Indians,Miccosukee Reservation,,
